source,price,price_per_meter,area,rooms,floor,market_type,furnished,description,date,url,title,street,neighbourhood,district,voivodeship
otodom,485779,13903,34.94,2.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/wykonczone-2-pok-12min-do-metra-garaz-winda-ID4wzon,⭐⭐Wykończone 2-pok 12min do Metra Garaż/WInda⭐⭐,Grodzisk,Grodzisk,Białołęka,mazowieckie
otodom,699000,19971,35.0,2.0,8,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/2-pokoje-35m2-loggia-ID4wnDv,"2 pokoje, 35m2 + loggia",Muranów,Muranów,Śródmieście,mazowieckie
otodom,789000,19725,40.0,2.0,5,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/dwupokojowe-lux-balkon-pulawska-morskie-oko-ID4wx0k,Dwupokojowe LUX/balkon/Puławska/Morskie Oko.,ul. Puławska,Stary Mokotów,Mokotów,mazowieckie
otodom,1782000,22000,81.0,4.0,4,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokoje-2lazienki-bezposrednio-mokotow-ID4uUUL,★4 pokoje 2łazienki ★ Bezpośrednio ★ MOKOTÓW,ul. Cybernetyki 2D,Służewiec,Mokotów,mazowieckie
otodom,649302,10981,59.13,3.0,,pierwotny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/klucze-od-zaraz-wysoki-standard-gotowe-promocja-ID4wzoi,⭐⭐Klucze od Zaraz Wysoki Standard Gotowe Promocja,Nowodwory,Nowodwory,Białołęka,mazowieckie
otodom,834000,21645,38.53,2.0,,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/obrzezna-2-pokoje-po-remoncie-komfortowe-ID4sVsw,"Obrzeżna, 2 pokoje po remoncie, komfortowe",Służew,Służew,Mokotów,mazowieckie
otodom,1790000,14196,126.09,4.0,4,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/okazja-dwupoziomowe-mieszkanie-w-kamienicy-ID4paZf,Okazja Dwupoziomowe Mieszkanie W Kamienicy,ul. Sielecka,Sielce,Mokotów,mazowieckie
otodom,863730,10500,82.26,4.0,,pierwotny,1,4-pokojowe mieszkanie numer 2 na 2. piętrze w Inwestycji Jeziorowa House Dewelopera Jeziorowa House,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4wvI1,4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio,ul. Jeziorowa,Zerzeń,Wawer,mazowieckie
otodom,,,50.95,1.0,1,pierwotny,1,1-pokojowe mieszkanie numer M3 na 1. piętrze w Inwestycji Rezydencja Krochmalna 44 Dewelopera VINCI Immobilier Polska,2025-03-23,https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-50m2-loggia-bez-prowizji-ID4usn0,1-pokojowe mieszkanie 50m2 + loggia Bez Prowizji,ul. Krochmalna,Mirów,Wola,mazowieckie
otodom,1782000,22000,81.0,4.0,7,wtórny,1,,2025-03-23,https://www.otodom.pl/pl/oferta/4-pokoje-2-lazienki-nowe-bezposrednio-kw-ID4uUN6,★ 4 pokoje + 2 łazienki ★ NOWE ★ Bezpośrednio ★ KW,al. Aleja Krakowska 289,Raków,Włochy,mazowieckie
