source;price;price_per_meter;area;rooms;floor;market_type;furnished;description;district;date;url;title
otodom;1 782 000 zł;22 000 zł/m²;81;4;4/5;wtórny;Tak;;ul. Cybernetyki 2D, Służewiec, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokoje-2lazienki-bezposrednio-mokotow-ID4uUUL;★4 pokoje 2łazienki ★ Bezpośrednio ★ MOKOTÓW
otodom;649 302 zł;10 981 zł/m²;59.13;3;;pierwotny;Tak;;Nowodwory, Białołęka,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/klucze-od-zaraz-wysoki-standard-gotowe-promocja-ID4wzoi;⭐⭐Klucze od Zaraz Wysoki Standard Gotowe Promocja
otodom;834 000 zł;21 645 zł/m²;38.53;2;;wtórny;Tak;;Służew, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/obrzezna-2-pokoje-po-remoncie-komfortowe-ID4sVsw;Obrzeżna, 2 pokoje po remoncie, komfortowe
otodom;1 790 000 zł;14 196 zł/m²;126.09;4;4/4;wtórny;Tak;;ul. Sielecka, Sielce, Mokotów,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/okazja-dwupoziomowe-mieszkanie-w-kamienicy-ID4paZf;Okazja Dwupoziomowe Mieszkanie W Kamienicy
otodom;863 730 zł;10 500 zł/m²;82.26;4;;pierwotny;Tak;4-pokojowe mieszkanie numer 2 na 2. piętrze w Inwestycji Jeziorowa House Dewelopera Jeziorowa House;ul. Jeziorowa, Zerzeń, Wawer,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokojowe-mieszkanie-82m2-balkon-bezposrednio-ID4wvI1;4-pokojowe mieszkanie 82m2 + balkon Bezpośrednio
otodom;Zapytaj o cenę;;50.95;1;1/7;pierwotny;Tak;1-pokojowe mieszkanie numer M3 na 1. piętrze w Inwestycji Rezydencja Krochmalna 44 Dewelopera VINCI Immobilier Polska;ul. Krochmalna, Mirów, Wola,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/1-pokojowe-mieszkanie-50m2-loggia-bez-prowizji-ID4usn0;1-pokojowe mieszkanie 50m2 + loggia Bez Prowizji
otodom;1 782 000 zł;22 000 zł/m²;81;4;7/8;wtórny;Tak;;al. Aleja Krakowska 289, Raków, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/4-pokoje-2-lazienki-nowe-bezposrednio-kw-ID4uUN6;★ 4 pokoje + 2 łazienki ★ NOWE ★ Bezpośrednio ★ KW
otodom;1 400 000 zł;20 000 zł/m²;70;3;;wtórny;Tak;;ul. Michała Ossowskiego, Targówek Mieszkaniowy, Targówek,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/gotowe-3-pokojowe-tuz-przy-metrze-bezposrednio-ID4wzo1;Gotowe 3-pokojowe tuż przy metrze, bezpośrednio!
otodom;999 000 zł;15 757 zł/m²;63.4;3;4/6;pierwotny;Tak;;ul. Instalatorów 7A, Raków, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/3pokoje-2lazienki-stan-developerski-bezposrednio-ID4uRdS;3pokoje 2łazienki ★Stan developerski ★Bezpośrednio
otodom;1 394 000 zł;18 992 zł/m²;73.4;4;1/5;wtórny;Tak;;ul. Łopuszańska, Raków, Włochy,  mazowieckie;2025-03-23;https://www.otodom.pl/pl/oferta/nowe-4-pokoje-2-lazienki-balkon13m2-bez-prowizji-ID4uR0W;NOWE 4 pokoje 2 łazienki ★balkon13m2 ★bez prowizji
